Frequency [Hz],Scattering Coefficient,"Normalized Diffusion 
Coefficient",Diffusion Coefficient
100,0,0,"0,649"
125,0,0,"0,641"
160,0,0,"0,627"
200,0,0,"0,602"
250,"0,001",0,"0,561"
315,"0,005",0,"0,503"
400,"0,018","0,01","0,451"
500,"0,052","0,065","0,436"
630,"0,097","0,136","0,448"
800,"0,151","0,159","0,428"
1000,"0,175","0,148","0,39"
1250,"0,333","0,265","0,445"
1600,"0,438","0,287","0,435"
2000,"0,601","0,448","0,542"
2500,"0,67","0,359","0,447"
3150,"0,971","0,323","0,397"
4000,"0,88","0,278","0,341"
5000,"0,956","0,304","0,353"
6300,"0,792","0,291","0,33"
8000,"0,866","0,337","0,366"